id,category_num
430065,25
75226,54
301990,66
301001,86
280179,131
153671,23
100940,16
219132,16
172982,114
277702,138
95483,128
428432,4
88592,54
64710,16
425078,75
290701,114
32336,25
112813,124
27541,25
393536,138
274919,63
132879,70
223591,68
362917,117
341804,40
139570,72
323295,117
439619,7
119078,63
450459,25
12992,31
332033,2
267432,51
248176,24
63001,119
364763,75
58542,29
417820,150
283289,40
165398,92
479522,69
37392,81
125323,10
483890,124
14573,68
352454,90
150996,65
340425,4
271696,10
17887,84
328213,18
295815,6
317348,79
210597,7
73657,2
56990,15
395265,7
86674,23
400652,24
72136,51
456878,10
103402,91
270740,133
68925,106
168214,2
421593,114
287190,113
104881,25
154100,138
232557,138
298965,68
393650,128
125811,3
203620,4
278195,15
361036,65
66438,107
28920,10
65038,55
417021,114
298754,10
355288,114
483110,109
239144,93
53013,110
396176,25
111052,75
187733,7
248695,76
412078,90
309483,69
73309,69
16729,40
254497,29
43395,71
175128,5
391450,73
98437,10
337713,76
464543,114
362278,138
105516,69
153018,10
118197,117
88365,88
230011,114
24076,85
66664,25
365388,116
99987,109
209609,15
98888,114
293485,72
222538,119
406387,123
69988,150
10266,54
121660,10
306419,116
436646,124
314879,100
195934,114
186618,114
160316,70
456483,133
278837,80
164242,150
25516,93
349276,79
28192,52
427820,90
378502,14
278154,114
464086,28
403881,61
28011,114
471113,150
171961,40
417834,31
135138,23
434797,116
415654,51
276007,109
311766,10
384565,124
364554,114
299473,90
256842,23
94084,119
478912,114
339018,25
204679,81
367116,150
249676,131
338787,76
349002,114
290207,24
421936,62
285350,141
175255,90
123358,93
120723,114
360088,25
111190,75
102896,114
381211,79
234040,25
48127,40
384130,70
2807,41
146186,131
248285,10
81448,24
415392,10
347814,138
308595,10
270084,138
375451,
445011,
54374,
26223,
5282,
24046,
216361,
316621,
118284,
125629,
252880,
256498,
237342,
33293,
353837,
379908,
159700,
76647,
153753,
419958,
300979,
30369,
260162,
34586,
25503,
297729,
281822,
243087,
409008,
376042,
27286,
383439,
448388,
134911,
234220,
374035,
189646,
362322,
405581,
424718,
444846,
238100,
210269,
286895,
254273,
304157,
353514,
12804,
108257,
330828,
26711,
150164,
456428,
232563,
45163,
20553,
122629,
370101,
116102,
95122,
98223,
66565,
465375,
315016,
231960,
40708,
351450,
209715,
26717,
5417,
361488,
389262,
425360,
458959,
312834,
470075,
20790,
241051,
181168,
55874,
150873,
438706,
2257,
178891,
85788,
115278,
245928,
43253,
253700,
354256,
321174,
158242,
238081,
407597,
322679,
17529,
58385,
416577,
483915,
317836,
230542,
430819,
185008,
156385,
220502,
48808,
73077,
164644,
268296,
279721,
358690,
366072,
172042,
241884,
248744,
249872,
475073,
244813,
91732,
282810,
241309,
187022,
464280,
337888,
267921,
1687,
216609,
255561,
431489,
93077,
356792,
129795,
446956,
104461,
226114,
450031,
124441,
184316,
110934,
138518,
197386,
384665,
439176,
203424,
236835,
276452,
477012,
103446,
223308,
452985,
388701,
137849,
244222,
240081,
289690,
103643,
111473,
311160,
359650,
442692,
330559,
405802,
290000,
77378,
112257,
61935,
475739,
215264,
370102,
186161,
131832,
219670,
249181,
305561,
369997,
305277,
107400,
7188,
175892,
196670,
234971,
125693,
194394,
384760,
336682,
216517,
329395,
372966,
236163,
342554,
117404,
214153,
397398,
437053,
367441,
26944,
276896,
454926,
51219,
252294,
242596,
260080,
201116,
281434,
173186,
466053,
50169,
486121,
479122,
457533,
266111,
168566,
462132,
150858,
213096,
355474,
473836,
441881,
121111,
248303,
484249,
347296,
383962,
403128,
334736,
10219,
483390,
277969,
135154,
443316,
374410,
258720,
100121,
283391,
19209,
301807,
257270,
157865,
386453,
195112,
375146,
358975,
122914,
2914,
367660,
375959,
54875,
52664,
322568,
321897,
172798,
171856,
86973,
410348,
224340,
169128,
19846,
307187,
151169,
69382,
206272,
321395,
204872,
279384,
266034,
305103,
305195,
193829,
281048,
191175,
487125,
392777,
466433,
32122,
248472,
293129,
200326,
304879,
391630,
90262,
25534,
22396,
371385,
459366,
482926,
384552,
192890,
248093,
282893,
330064,
111441,
312578,
377402,
307757,
37165,
284428,
54813,
20395,
168601,
278946,
150414,
369827,
394071,
170527,
441336,
289709,
15465,
161327,
276513,
84774,
81144,
131865,
123526,
69595,
478178,
56838,
242508,
258510,
125135,
310354,
352718,
430381,
349044,
104611,
102743,
118785,
292661,
273382,
396726,
138494,
463698,
108254,
461279,
259379,
280788,
375817,
460601,
204546,
321960,
70444,
147694,
214199,
223801,
211051,
117330,
160656,
443762,
195068,
181388,
40314,
133683,
340616,
319621,
104698,
219962,
379726,
69183,
122808,
137613,
365170,
381788,
246764,
427936,
164811,
78096,
165224,
262402,
424036,
305378,
153813,
351962,
486452,
441974,
262964,
171055,
439340,
226973,
220299,
420528,
450010,
59421,
132059,
293032,
141669,
400864,
58719,
129589,
260701,
410616,
226184,
175185,
120713,
303072,
148940,
201523,
295439,
83203,
378210,
239466,
252846,
230570,
473771,
306218,
309480,
9089,
87344,
287689,
237328,
221562,
233349,
328522,
345703,
128641,
400863,
464731,
118605,
291257,
218248,
62468,
133361,
426577,
459765,
172609,
108513,
353408,
94727,
409989,
136087,
55598,
124703,
148529,
461892,
473803,
233373,
424342,
286390,
49535,
288610,
184494,
361786,
99980,
146268,
200778,
486835,
295571,
134597,
469273,
208107,
18037,
451900,
467689,
209284,
39512,
425557,
376536,
422993,
484133,
366640,
148477,
279945,
323877,
11151,
94497,
298271,
389219,
426963,
407962,
401741,
428320,
438479,
389307,
339275,
90613,
416407,
404521,
120825,
338143,
128111,
277247,
339816,
66766,
124758,
374903,
282202,
457221,
232466,
416553,
434274,
170334,
475810,
117549,
295164,
138730,
428526,
285596,
434276,
443706,
415140,
61438,
276696,
411478,
429682,
410660,
99176,
115378,
50872,
233561,
159847,
377013,
225122,
378594,
48952,
260956,
431593,
286789,
157352,
192376,
265070,
351633,
188432,
406581,
218298,
394928,
422789,
106743,
69049,
302967,
404499,
189217,
21960,
329726,
20469,
158357,
347754,
275771,
1510,
385674,
25872,
233512,
399650,
136166,
468839,
456147,
377861,
377060,
170274,
212562,
65345,
318998,
14913,
214417,
254483,
309308,
448086,
190169,
438112,
301772,
67119,
467919,
355594,
19218,
461093,
395210,
80218,
479811,
465432,
4238,
272167,
297867,
67988,
307347,
390103,
482560,
160657,
321891,
218313,
237554,
113101,
168766,
308667,
292581,
220443,
378457,
480685,
88622,
252044,
465031,
427514,
343495,
396235,
434643,
66012,
162084,
293135,
83755,
217764,
190257,
93551,
418321,
281238,
89643,
454892,
423744,
110031,
449468,
222215,
291679,
253818,
373047,
222057,
389714,
197929,
321687,
311571,
110679,
5446,
115000,
311547,
228235,
8587,
318238,
59903,
364542,
352700,
222530,
208577,
20709,
415613,
473528,
108166,
316930,
3756,
336193,
248737,
235290,
116627,
248842,
295882,
86028,
48772,
315193,
25079,
125268,
350429,
363018,
364167,
482045,
147419,
454857,
150542,
266829,
375754,
467743,
216008,
463931,
9924,
214368,
61169,
394932,
122326,
292191,
206938,
64099,
585,
295781,
74890,
125668,
295198,
412177,
346535,
114234,
57064,
311683,
459490,
472613,
399184,
366782,
197693,
441542,
54291,
132024,
89814,
242605,
50705,
38434,
396558,
341537,
108509,
115833,
406249,
222147,
36382,
454374,
21951,
312134,
41737,
364441,
418129,
12594,
185042,
445899,
325914,
150486,
345027,
410613,
423825,
103715,
330803,
42435,
116756,
107759,
376720,
100647,
370082,
399139,
76396,
154992,
465442,
188879,
26932,
24618,
370567,
464995,
43924,
267665,
224102,
114514,
139513,
142337,
407550,
327474,
291473,
392278,
209577,
96859,
76896,
63952,
128872,
69185,
403531,
254498,
274754,
198261,
417775,
299370,
46168,
205004,
352073,
75221,
273754,
32428,
45382,
87291,
297496,
434524,
24719,
241273,
41612,
409101,
308647,
450326,
153535,
260025,
267578,
187912,
362981,
193509,
89170,
67699,
455857,
403539,
241002,
292332,
23567,
298756,
414414,
431893,
131843,
300586,
150723,
254802,
9929,
191373,
161179,
147828,
65402,
120284,
458553,
333379,
404141,
462795,
187941,
462577,
150900,
465812,
252768,
148371,
250457,
297905,
379128,
70789,
190471,
291956,
288099,
229079,
431350,
462594,
354359,
183941,
18290,
49687,
259656,
51476,
485605,
172041,
45831,
7736,
182300,
307506,
350285,
293468,
245789,
122860,
459886,
206579,
252530,
429168,
69376,
295469,
298013,
385118,
374768,
106665,
42509,
356053,
303129,
168789,
161978,
185124,
236818,
150756,
3560,
303816,
55566,
25510,
7458,
211610,
468272,
415675,
474117,
102933,
46325,
349475,
195007,
113854,
386284,
1332,
330533,
218747,
439214,
271941,
201949,
345862,
316778,
235028,
402749,
9894,
43956,
482345,
480236,
162494,
208652,
394771,
60402,
6570,
357925,
431155,
281800,
47761,
323669,
132158,
227008,
62062,
343552,
382517,
14732,
226387,
482320,
409123,
272018,
107403,
25786,
481718,
473086,
70752,
263434,
135956,
306757,
77696,
427418,
410891,
308267,
427988,
173886,
352204,
385699,
330234,
326679,
140306,
98145,
404095,
326859,
124296,
481818,
313750,
39265,
78818,
148998,
353786,
26776,
109051,
413138,
450079,
383398,
140507,
8602,
359183,
325891,
269383,
43533,
346753,
246296,
213809,
420347,
315379,
95388,
413789,
2277,
123346,
336809,
354583,
132163,
198275,
425822,
345787,
12378,
462388,
254961,
130955,
278955,
211864,
232198,
249827,
159771,
43739,
275752,
368001,
445004,
87893,
314117,
266222,
174653,
114831,
23076,
232318,
276878,
17711,
84020,
451895,
390055,
361053,
278242,
437716,
394568,
405737,
151335,
124818,
434174,
386963,
269026,
486945,
133498,
484363,
454865,
53082,
218757,
386165,
252654,
169700,
366318,
460217,
351346,
174544,
354860,
171570,
240555,
59443,
281405,
182384,
12987,
336933,
379797,
264330,
448329,
443376,
381826,
179243,
275888,
241421,
105650,
379420,
431471,
344664,
99472,
2101,
124815,
10273,
216802,
104635,
243829,
132240,
415929,
302274,
331159,
19133,
259074,
424391,
72490,
205372,
119040,
308256,
48510,
247767,
247137,
462568,
325886,
184489,
212952,
64874,
161612,
357151,
394268,
134874,
408196,
175848,
118914,
450360,
333012,
416806,
119816,
472477,
259163,
61069,
115035,
437850,
306280,
182780,
175931,
126321,
49179,
215109,
194617,
248831,
387330,
421418,
211432,
176683,
242545,
219645,
1847,
86602,
51351,
4210,
286145,
114080,
414982,
321036,
252086,
169681,
30728,
140635,
393072,
112185,
142985,
466301,
80653,
12302,
358069,
105792,
112864,
2356,
248167,
343255,
66359,
423538,
177312,
243609,
431784,
253052,
454760,
52155,
40702,
197400,
165961,
479506,
19909,
275101,
284268,
157132,
405323,
330811,
178275,
309902,
420892,
325057,
391659,
135396,
60958,
292110,
407384,
276063,
153511,
445002,
443820,
261683,
164631,
232227,
229504,
339560,
179799,
368750,
81926,
447015,
428503,
123927,
469162,
394653,
138010,
93938,
63044,
40017,
173857,
61887,
64063,
190573,
160215,
343670,
312021,
331234,
262752,
343811,
272291,
412055,
450660,
27021,
286826,
118431,
450113,
212869,
362283,
134908,
282126,
186832,
185563,
231947,
393518,
359187,
235020,
80244,
157810,
227234,
374866,
388923,
237830,
18904,
365872,
16409,
451459,
17174,
197653,
92826,
404303,
285512,
66310,
200509,
62968,
407319,
381251,
454763,
96108,
105880,
471391,
280712,
451526,
328053,
133251,
398665,
380215,
28872,
262050,
321131,
403301,
146716,
338984,
280039,
67594,
119632,
26484,
242504,
49482,
50187,
414765,
288800,
48585,
217278,
468411,
463149,
456007,
315822,
234956,
81737,
262819,
295602,
71472,
195196,
15397,
147412,
477213,
259107,
4625,
146239,
171160,
59394,
367183,
166506,
303684,
371537,
306022,
359638,
185595,
469581,
274512,
11459,
324676,
293795,
397762,
6755,
433811,
135190,
474321,
247007,
129222,
55738,
256878,
24621,
195794,
477718,
157654,
203090,
222097,
120533,
343884,
381798,
236671,
402366,
220691,
466626,
222084,
371037,
309579,
453809,
145106,
271425,
327750,
131094,
362175,
467215,
80816,
95119,
291077,
345281,
286469,
323688,
254106,
296346,
118005,
250317,
432608,
52540,
229634,
167996,
252255,
471647,
147053,
124024,
389920,
450227,
381433,
338042,
123824,
114973,
472522,
77095,
286216,
3760,
77462,
64728,
138509,
208967,
138921,
353928,
322238,
465664,
18813,
168436,
82429,
354518,
73300,
44627,
346131,
34182,
311139,
402134,
452200,
354484,
347240,
387191,
129791,
486466,
305067,
476027,
339474,
276181,
320109,
318887,
244305,
166854,
398858,
441802,
392837,
229009,
384499,
78626,
99559,
446685,
342830,
256560,
481402,
190592,
460956,
442339,
58919,
23402,
122518,
26457,
282258,
241293,
193428,
96913,
233291,
298219,
95814,
103324,
310298,
303614,
479083,
377571,
50708,
434433,
157929,
345918,
269837,
414336,
264326,
6248,
51064,
452645,
454145,
26293,
451324,
202208,
330821,
254925,
443323,
76446,
396971,
76352,
462468,
186013,
431655,
415425,
11169,
364471,
266141,
402864,
64500,
242744,
72189,
227648,
70008,
245423,
99077,
292985,
16679,
57795,
62697,
393618,
182692,
24483,
37956,
224200,
357502,
21380,
33492,
363936,
92410,
302862,
458210,
460716,
180683,
432755,
50425,
94397,
442519,
77499,
448706,
283799,
244649,
159122,
27080,
163749,
218861,
388750,
365198,
325601,
463359,
284413,
434127,
6971,
350993,
224165,
269996,
23517,
28205,
257929,
203669,
183515,
445315,
279219,
170337,
381913,
62794,
170979,
209588,
104512,
230201,
454092,
293619,
73068,
196649,
327260,
65718,
134539,
204073,
66369,
259864,
411955,
103294,
130654,
482043,
349155,
361327,
374813,
210608,
35578,
195841,
359295,
35176,
469144,
422802,
14726,
291346,
92812,
462946,
139562,
47303,
15708,
227615,
125734,
476550,
414530,
50886,
68831,
206084,
99900,
134951,
373862,
184354,
58922,
291154,
81509,
226060,
398025,
368373,
184336,
179557,
64110,
305660,
39561,
327757,
482711,
129792,
63386,
56180,
252777,
162886,
64199,
392063,
298473,
177302,
263188,
219050,
143608,
97960,
186371,
465079,
262589,
27147,
444449,
46338,
434744,
122137,
447210,
423367,
123491,
233533,
127881,
99563,
370678,
181461,
128857,
283811,
40081,
172634,
431575,
313850,
120008,
130535,
478692,
24760,
92539,
2659,
36397,
132106,
288668,
202803,
472026,
41633,
61351,
293057,
153528,
417038,
196912,
85590,
73070,
196168,
257586,
256203,
31116,
471459,
310470,
329438,
358936,
64820,
204298,
181244,
482691,
318531,
466836,
284855,
241017,
44977,
204983,
457516,
256969,
471405,
473602,
250575,
125578,
122575,
66940,
8771,
382954,
213791,
174828,
191826,
409911,
486004,
87153,
453878,
411250,
415779,
309011,
128642,
201268,
260550,
382652,
85937,
65671,
180762,
356963,
295555,
225117,
279780,
61268,
426929,
221451,
369862,
154937,
479009,
186192,
194128,
93281,
176827,
188667,
185815,
317230,
101025,
352743,
405414,
181854,
303598,
12170,
275318,
135712,
236500,
352491,
452595,
268598,
109547,
223014,
162599,
386709,
330314,
210718,
482015,
471596,
437802,
9409,
368842,
113644,
286867,
386024,
442951,
291988,
373070,
487871,
116482,
283495,
93850,
332742,
277080,
171230,
67302,
464102,
267090,
129416,
408341,
69741,
427067,
483708,
18355,
245171,
24260,
325080,
167473,
48890,
194502,
212103,
167449,
367758,
325060,
178665,
273797,
45229,
206378,
259449,
195725,
59344,
403399,
126372,
427533,
158468,
29132,
239397,
317004,
185627,
307764,
150585,
466661,
234703,
34745,
19496,
63517,
212771,
119062,
488163,
240494,
161258,
364563,
103615,
215092,
164179,
52349,
328207,
355969,
158190,
27896,
425490,
233333,
398891,
25049,
397579,
96249,
235094,
210769,
403710,
31680,
160333,
318187,
427209,
209368,
444775,
176888,
48088,
